date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:20	21546/21546	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:21%20GMT	https://indiandryfruit.shop/single-products/143	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/143.html	(from https://indiandryfruit.shop/)
17:44:21	75387/75387	---M--	200	added ('OK')	image/jpeg	etag:%221267b-65280d88-989448d1cb472a3b;;;%22	https://indiandryfruit.shop/upload/product/8452231006080423.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/8452231006080423.jpg	(from https://indiandryfruit.shop/)
17:44:22	24825/24825	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:23%20GMT	https://indiandryfruit.shop/single-products/142	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/142.html	(from https://indiandryfruit.shop/)
17:44:24	255877/255877	---M--	200	added ('OK')	image/jpeg	etag:%223e785-65280d88-63518d9ec6609848;;;%22	https://indiandryfruit.shop/upload/product/437230919050437.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/437230919050437.jpg	(from https://indiandryfruit.shop/)
17:44:25	24620/24620	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:26%20GMT	https://indiandryfruit.shop/single-products/141	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/141.html	(from https://indiandryfruit.shop/)
17:44:28	24406/24406	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:28%20GMT	https://indiandryfruit.shop/single-products/140	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/140.html	(from https://indiandryfruit.shop/)
17:44:30	248259/248259	---M--	200	added ('OK')	image/jpeg	etag:%223c9c3-65280d88-517722970074c8b6;;;%22	https://indiandryfruit.shop/upload/product/6801230919045944.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/6801230919045944.jpg	(from https://indiandryfruit.shop/)
17:44:31	133126/133126	---M--	200	added ('OK')	image/jpeg	etag:%2220806-65280d88-8831b8fbb286897b;;;%22	https://indiandryfruit.shop/upload/product/1286230918194626.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/1286230918194626.jpg	(from https://indiandryfruit.shop/)
17:44:31	27254/27254	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:32%20GMT	https://indiandryfruit.shop/single-products/139	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/139.html	(from https://indiandryfruit.shop/)
17:44:33	52467/52467	---M--	200	added ('OK')	image/jpeg	etag:%22ccf3-65280d88-aa5bfda79f5ebf63;;;%22	https://indiandryfruit.shop/upload/product/7754230918194012.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/7754230918194012.jpg	(from https://indiandryfruit.shop/)
